domain_id,subdomain_id,variable_id,variable_code,variable_name
EBA_Float,EBA_Float,EBA_FIELD_md201,md201,"Reclassifications other than valuation gains and losses taken to equity, Transferred to profit or loss (flow)"
EBA_Float,EBA_Float,EBA_FIELD_md202,md202,"Reclassifications other than valuation gains and losses taken to equity, Transferred to profit or loss, Transferred to initial carrying amount of hedged items (flow)"
EBA_Float,EBA_Float,EBA_FIELD_md203,md203,Recoveries recorded directly to the statement of profit or loss(flow)
EBA_Float,EBA_Float,EBA_FIELD_md21,md21,All changes in Provisions (flow)
EBA_Float,EBA_Float,EBA_FIELD_md210,md210,Reversals (flow)
EBA_Float,EBA_Float,EBA_FIELD_md216,md216,Sale/Cancellation of Treasury Shares (flow)
EBA_Float,EBA_Float,EBA_FIELD_md226,md226,Sum of the five largest losses (flow)
EBA_Float,EBA_Float,EBA_FIELD_md233,md233,Total comprehensive income for the year (flow)
EBA_Float,EBA_Float,EBA_FIELD_md234,md234,Gross loss amount (flow)
EBA_Float,EBA_Float,EBA_FIELD_md239,md239,Transferred to initial carrying amount of hedged items (flow)
EBA_Float,EBA_Float,EBA_FIELD_md240,md240,Transferred to profit or loss (flow)
EBA_Float,EBA_Float,EBA_FIELD_md241,md241,Transfers among components of Equity (flow)
EBA_Float,EBA_Float,EBA_FIELD_md242,md242,Transfers between allowances (flow)
EBA_Float,EBA_Float,EBA_FIELD_md249,md249,Change in fair value for the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md251,md251,Unused amounts reversed during the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md252,md252,Valuation gains and losses taken to equity (flow)
EBA_Float,EBA_Float,EBA_FIELD_md254,md254,Value adjustments recorded directly to the income statement (flow)
EBA_Float,EBA_Float,EBA_FIELD_md26,md26,All Reclassifications (flow)
EBA_Float,EBA_Float,EBA_FIELD_md301,md301,Credit risk adjustments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md330,md330,Amount maturing since previous reported position
EBA_Float,EBA_Float,EBA_FIELD_md331,md331,Amounts to be issued since previous reporting position
EBA_Float,EBA_Float,EBA_FIELD_md338,md338,Amount of loss recovery (flow)
EBA_Float,EBA_Float,EBA_FIELD_md36,md36,Amount of changes in fair value attributable to changes in credit risk (flow)
EBA_Float,EBA_Float,EBA_FIELD_md38,md38,Amount of gains (flow)
EBA_Float,EBA_Float,EBA_FIELD_md39,md39,Amount of losses (flow)
EBA_Float,EBA_Float,EBA_FIELD_md421,md421,Daily change in portfolio valuation (flow)
EBA_Float,EBA_Float,EBA_FIELD_md46,md46,Amounts used (flow)
EBA_Float,EBA_Float,EBA_FIELD_md509,md509,Increases in allowances due to origination and acquisition
EBA_Float,EBA_Float,EBA_FIELD_md510,md510,Decreases in allowances due to derecognition
EBA_Float,EBA_Float,EBA_FIELD_md511,md511,Changes in allowances due to change in credit risk (net)
EBA_Float,EBA_Float,EBA_FIELD_md512,md512,Changes in allowances due to modifications without derecognition
EBA_Float,EBA_Float,EBA_FIELD_md513,md513,Changes in allowances due to update in methodology for estimation (net)
EBA_Float,EBA_Float,EBA_FIELD_md514,md514,Decrease in allowances due to write-offs
EBA_Float,EBA_Float,EBA_FIELD_md515,md515,Other adjustments in allowances
EBA_Float,EBA_Float,EBA_FIELD_md516,md516,Amounts written-off directly to the statement of profit or loss
EBA_Float,EBA_Float,EBA_FIELD_md519,md519,Amount of loss adjustments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md544,md544,Amount of positive loss adjustments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md545,md545,Amount of negative loss adjustments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md59,md59,Benefits paid (flow)
EBA_Float,EBA_Float,EBA_FIELD_md60,md60,Business combinations or divestitures (flow)
EBA_Float,EBA_Float,EBA_FIELD_md62,md62,Capital Reduction (flow)
EBA_Float,EBA_Float,EBA_FIELD_md64,md64,Carrying amount (flow)
EBA_Float,EBA_Float,EBA_FIELD_md67,md67,Carrying amount of Collateral obtained during the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md675,md675,Gross carrying amount (flow)
EBA_Float,EBA_Float,EBA_FIELD_md677,md677,Gross carrying amount of collateral obtained during the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md68,md68,"Changes in allowances for credit losses other than Decreases due to amounts taken against allowances, Transfers between allowances, and Increases due to amounts set aside or decreases due to amounts reversed for estimated loan losses, (flow)"
EBA_Float,EBA_Float,EBA_FIELD_md683,md683,"Increase in impairment allowances, accumulated negative changes in fair value due to credit risk"
EBA_Float,EBA_Float,EBA_FIELD_md684,md684,"Increase in impairment allowances, accumulated negative changes in fair value due to credit risk.On interest accrued"
EBA_Float,EBA_Float,EBA_FIELD_md685,md685,"Decrease in impairment allowances, accumulated negative changes in fair value due to credit risk"
EBA_Float,EBA_Float,EBA_FIELD_md686,md686,"Decrease in impairment allowances, accumulated negative changes in fair value due to credit risk.Reversals"
EBA_Float,EBA_Float,EBA_FIELD_md687,md687,"Decrease in impairment allowances, accumulated negative changes in fair value due to credit risk.Unwinding effect (accounting)"
EBA_Float,EBA_Float,EBA_FIELD_md69,md69,"Changes in Defined benefit obligations other than Current and past service cost, Interest cost, Contributions paid by plan participants, Actuarial gains and losses, Foreign currency translation, Benefits paid, Business combinations or divestiture (flow)"
EBA_Float,EBA_Float,EBA_FIELD_md70,md70,Changes in Equity from business combinations (flow)
EBA_Float,EBA_Float,EBA_FIELD_md71,md71,Changes in Equity from share based payments (flow)
EBA_Float,EBA_Float,EBA_FIELD_md72,md72,Changes in equity other than those explicitly reported (flow)
EBA_Float,EBA_Float,EBA_FIELD_md73,md73,"Changes in Provisions other than Additions, including increases in existing provisions, Amounts used, Unused amounts reversed during the period, Increase in the discounted amount and effect of any change in the discount rate (flow)"
EBA_Float,EBA_Float,EBA_FIELD_md771,md771,Accumulated negative changes for collateral obtained during the period (flow)
EBA_Float,EBA_Float,EBA_FIELD_md83,md83,Contributions paid by plan participants (flow)
EBA_Float,EBA_Float,EBA_FIELD_md85,md85,Conversion of debt to equity (flow)
EBA_Float,EBA_Float,EBA_FIELD_mi1,mi1,10% CET1 threshold
EBA_Float,EBA_Float,EBA_FIELD_mi100,mi100,"CRM substitution effects Outflows, net of value adjustments and provisions"
EBA_Float,EBA_Float,EBA_FIELD_mi1000,mi1000,Change in net interest income
EBA_Float,EBA_Float,EBA_FIELD_mi1001,mi1001,Change in the economic value of equity
EBA_Float,EBA_Float,EBA_FIELD_mi1005,mi1005,Changes in market value
EBA_Float,EBA_Float,EBA_FIELD_mi101,mi101,CRM Volatility adjustment to the exposure
EBA_Float,EBA_Float,EBA_FIELD_mi1010,mi1010,Economic value of equity
EBA_Float,EBA_Float,EBA_FIELD_mi102,mi102,CRM Volatility and maturity adjustments
EBA_Float,EBA_Float,EBA_FIELD_mi1022,mi1022,Net interest income
EBA_Float,EBA_Float,EBA_FIELD_mi1027,mi1027,Notional repricing cash flows
EBA_Float,EBA_Float,EBA_FIELD_mi1051,mi1051,Prior permission amount
EBA_Float,EBA_Float,EBA_FIELD_mi1052,mi1052,Stress scenario risk measure
EBA_Float,EBA_Float,EBA_FIELD_mi109,mi109,Effects of changes in accounting policies
EBA_Float,EBA_Float,EBA_FIELD_mi110,mi110,Effects of corrections of errors
EBA_Float,EBA_Float,EBA_FIELD_mi1111,mi1111,"Upward net curvature risk position, per risk factor"
EBA_Float,EBA_Float,EBA_FIELD_mi1112,mi1112,"Downward net curvature risk position, per risk factor"
EBA_Float,EBA_Float,EBA_FIELD_mi112,mi112,Eligible amount without transitional provisions
EBA_Float,EBA_Float,EBA_FIELD_mi115,mi115,Expected loss amount
EBA_Float,EBA_Float,EBA_FIELD_mi116,mi116,"Exposure after CRM substitution effects pre conversion factors, including value adjustments and provisions"
EBA_Float,EBA_Float,EBA_FIELD_mi117,mi117,"Exposure after CRM substitution effects pre conversion factors, net of value adjustments and provisions"
